"cloud computing,microsoft exchange server,vmware,web application,virtualization,operating system",vmware server virtual oracle update virtualization application infrastructure management microsoft
"conservative democrat,democratic party (united states),presidential nominee,bill clinton",obama mccain campaign john barack president senator candidate convention clinton
"windows 10,windows 8.1,operating system,windows 8,internet explorer,windows server 2003,windows 2000,windows 7,microsoft office,microsoft visual studio",file windows software server version install user microsoft application support
"pc card,operating system,flash memory,motherboard,desktop computer,personal computer,microprocessor,usb",drive computer card laptop memory battery usb intel processor hard
"xbox one,xbox 360,virtual console,wii,xbox (console),video game console",game play video xbox 360 wii gaming player release nintendo
"election,electoral college,by-election,general election,primary election",vote house election poll bill republican party voter candidate senate
"hospital,patient,health,medicine,neurology,oncology,cancer",health patient medical doctor hospital disease cancer care drug study
"cooking,pasta,barbecue sauce",food eat cook chicken recipe cup cheese add taste tomato
"son of god,catholicism,holy spirit (christianity),baptism,faith,christian theology,sacrament,god the father,christian church,christianity",god church jesus christian faith lord christ catholic give prayer
"olympic gold,summer olympic games,winter olympic games,2008 summer olympics,olympic sports,2004 summer olympics,olympic games,2012 summer olympics",china chinese olympics gold olympic team win beijing medal sport
"conservative democrat,sarah palin",palin sarah mccain alaska governor president republican woman john vice
"blue,black",look white color black red hair blue light green eye
"investment banking,subprime mortgage crisis,great recession,capital market,financial crisis,refinancing,financial services",financial bank market government mortgage bailout billion street wall crisis
"weight loss,appetite,weight management,dieting,diet (nutrition),obesity,eating,saturated fat",weight body fat diet food health eat exercise loss healthy
"front-wheel drive,engine,automatic transmission",car power vehicle seat rear wheel engine drive air front
"internet,web portal,google search,mobile app,website,web browser,user-generated content,google analytics,social networking service,adsense",site web google search website online internet social content user
"biofuel,petroleum,diesel fuel,energy development,fossil fuel,natural gas,biomass,alternative energy",oil energy gas water power fuel global price plant natural
gene expression,cell gene protein function study elegan expression mutant suggest brain
"mobile device,mobile web,android (operating system),smartphone,mobile phone",phone mobile iphone device internet service google app read source
"rock music,the band,album",music song band album play sound rock track guitar listen
playoffs,game team run hit season win baseball sox pitch start
"father,brother",family brother die sister father mother dad tell son wife
"state prosecutor,grand jury,indictment,jury trial,criminal law,acquittal,state court (united states),superior court,judiciary,district court",court law case police charge legal judge crime report federal
"footwear,shoe",size shoe bag wear pair fit foot pocket leather weight
"primary education,school,secondary education,matriculation,university,high school,student,graduate school,graduate,teacher,education,private school",school student university college teacher class education learn high program
"player-coach,football team,championship,professional football (gridiron)",game team season play football player win week fan coach
"grocery store,coupon,sales,buyer,costco,supermarket,purchasing",store sell sale item buy coffee shop price box gift
"marketing,business development,industry,supply chain management,project management,technical support,business,technology company,business model,risk management",business company technology product customer service provide management development system
"united states army,military police,artillery,aerial warfare,united states marine corps,army,infantry tactics,marines,airborne forces",military force war army soldier gun fire air guard u.s.
"house,the living room,dining room,room,kitchen",room bedroom floor apartment kitchen bath call large include center
"tax revenue,consumer spending,market share,percentage point,tax rate,revenue,annual growth rate",million price percent tax market increase rate number report average
costume,wear baby dress wedding look love clothes girl kid need
"marriage,husband",child woman family kid parent baby mother home husband young
"book,novelist,library journal,author,publishing,novel,writer,biography,the writer,essay",book read write story author writer review library page publish
fall in love,love look want friend fun thing enjoy think girl meet
"ios,smartphone,iphone,apple inc.",apple ipod mac pro sep touch 2008 ring itune phone
"learning to read,alphabet,vocabulary,writing system,word,speaking,language,english language,writing,orthography",word write language english read mean speak letter call learn
"camera phone,camcorder,touchscreen,video,webcam",camera digital video feature system image screen control display include
"database,metadata,c++,data type",code user datum string create object database type set function
"george w. bush,mahmoud abbas,iraq,saddam hussein,iraq war,2003 invasion of iraq",iraq war government attack iran country american president bush israel
in the evening,night week home sleep hour morning today feel weekend bed
"planet,moon,ganymede (moon),titan (moon)",earth sun space light clark planet wind moon ice lex
church architecture,church arch wall building window gothic nave side vault tower
"painting,renaissance art,self-portrait,portrait painting",picture portrait paint painter figure master painting gallery raphael titian
"leaf,rootstock,inflorescence,seedling",plant tree fruit grow soil foot leaf seed root flower
"jesus,god the father,christian theology,faith,salvation,eternal life (christianity),son of god,christianity,holy spirit (christianity)",god church christian thing word christ religion divine sin sermon
"duomo,florence,san giovanni,lucca",church florence pope italy rome city san venice chapel giovanni
"illustrator,abstract art,oil painting,printmaking,portrait painting,art history,visual arts,fine art,art,watercolor painting,painting",art artist picture painter painting paint museum drawing study colour
"cervix,caesarean section,placenta,pregnancy,childbirth,ectopic pregnancy,endometrium,uterus",child labor case head uterus pregnancy woman pelvis uterine pain
"ship,aircraft carrier,battlecruiser,navy,naval aviation,warship,submarine,torpedo boat,naval warfare",ship naval navy war fleet vessel officer sea gun speed
"ovarian cancer,brain tumor,surgery,medical procedure",case operation patient surgery tumor treatment wound hospital disease practice
"high school,music education,education,vocational education,state school,teacher,boarding school,school,student,secondary school,curriculum,art school",school teacher child education pupil study art class teach student
"symphony,chamber music,song,music,concert performance,classical music,opera,orchestra,symphony no. 9 (beethoven),concerto",music musical part opera play concert sing composer song beethoven
"building,floor,window,entryway",house room wall floor plan window home door build roof
"byzantine art,saint peter,pope gregory i,baptistery,cathedral,church architecture,basilica,history of christianity,christianity",century fig plate church basilica roman christian mosaic byzantine rome
"hydrochloric acid,nitric acid",acid solution water iron copper metal silver form gold liquid
"temple,shrine,roman temple,roman art,roman sculpture,roman forum",city wall place ancient statue rome palace marble temple roman
"church architecture,modern architecture,history of architecture,architectural style,renaissance architecture,gothic revival architecture,architect,georgian architecture,palladian architecture,architecture,architectural design",building architecture architect design architectural house plan style detail palace
"cubic foot,length,pounds per square inch",inch foot weight square equal length beam pressure pound area
"connective tissue,periosteum,cartilage,muscle,inflammation",bone tissue form muscle part cell joint side surface body
"tang dynasty,japanese art,ceramic art,chinese ceramics,porcelain,cloisonné",chinese japanese ware colour china porcelain pottery century japan piece
"los angeles,southern california,san fernando valley,baja california",san los california city angeles arizona mile mexico valley land
"prince,louis xiii of france,louis xiv of france,francis i of france,duke of burgundy",king emperor france prince duke pope french german louis charles
"love,mother",love heart thou soul woman hear thee friend tell child
"north sea,harbor,boat",island ship coast river captain sea boat sail land company
"ancient art,art,history of art,ceramic art,medieval art,victoria and albert museum,iconography",museum vase ornament style collection figure cyprus paint bronze pottery
"building material,concrete,reinforced concrete",water foot concrete cement construction wall air heat inch stone
spanish empire,spain philip spanish cathedral reign madrid san juan century iv.
"aunt,wife",mr. mrs. young lady look friend tell mother miss father
"special forces,military strategy,army,battle",war army enemy battle force general attack troops march line
"japanese garden,topiary,garden,natural landscape,garden design,ornamental plant,picturesque,gardening",tree garden landscape flower plant house beautiful place country beauty
"cathedral,church architecture,gothic architecture,romanesque architecture,hereford cathedral,priory church",church cathedral century english bishop england chapel style abbey early
"rationalism,mind,natural law,knowledge,human nature",nature mind human science thought truth law moral power natural
elizabeth,portrait lady collection sir duke queen john charles head william
"poetry,english literature,writer,novel",play poet story character theatre stage write poetry drama poem
"heat sink,thermal expansion,electric current,heat pipe,evaporation",water air experiment wire heat produce temperature tube mr. electricity
"naval artillery,gun turret",gun steel fire speed inch boat no. engine engineer machine
"star,moon,uranus",sun star object light earth moon distance place body motion
"diction,voice (phonetics),utterance,tone (linguistics),prosody (linguistics)",voice word sound speech art note tone expression syllable form
"election,primary election,political party,presidential nominee,independent democrat,candidate,state senator,democratic party (united states),voter turnout,general election",party campaign candidate political mccain election vote republican democratic voter
"palestinian territories,benjamin netanyahu,east jerusalem,avigdor lieberman,israeli settlement",israel peace barak israeli minister palestinian agreement prime leader palestinians
"extra innings,boston red sox",game run hit pitch season dodgers start inning innings mets
"physician,health,psychiatry,hospital,ambulatory care,clinic,patient",health drug patient doctor medical care hospital treatment disease dr.
"financial services,investment fund,stock exchange,investment company,investor,capital market,stock market,investment",stock fund market investor share trading firm investment exchange bond
"kosovo liberation army,yugoslav wars,kosovo serbs,breakup of yugoslavia,kosovo albanians,kosovo,kosovo war",kosovo war nato milosevic albanian serb india refugee yugoslavia force
"the drink,cider,coffee,drink,beer",food wine restaurant eat drink bottle beer coffee bar ice
"superior court,lawyer,jury trial,federal court,attorney general,supreme court,prosecutor,appellate court",court law case lawyer judge legal lawsuit decision attorney file
"new york state senate,joe lieberman,111th united states congress,united states senate",bill house senate republican vote congress committee republicans clinton leader
"art,venice biennale,metropolitan museum of art,art museum,museum of fine arts,modern art,contemporary art,museum,exhibition,smithsonian american art museum",art museum artist show painting collection exhibition gallery exhibit york
"pricing,wholesale,sales,the sale,business-to-business,reseller,online shopping,profit margin,broker,marketing,purchasing,vendor",sell sale store buy customer company business price product consumer
"playoffs,head coach,national football league,professional football (gridiron)",game team play season yard coach quarterback nfl run football
"broadcast syndication,television network,television program,fox broadcasting company,usa network",show television network series fox cbs nbc watch abc station
"new car,truck,car,pickup truck,four-wheel drive",car vehicle drive ford seat driver truck road engine auto
"airplane,boeing 737,airliner",plane kennedy flight fly pilot airline airport air search passenger
"financial market,financial services,mortgage loan,government debt,financial institution,bank,financial system,finance,stock market,deposit insurance,private banking,capital market,monetary policy",bank money financial economy loan market business dollar account banking
"self-employment,payroll,employment,wage,employment contract,laborer,trade union,workplace",worker job union employee company labor pay contract benefit employer
"joe lieberman,george w. bush,conservative democrat,george h. w. bush,presidential nominee",bush campaign texas george governor candidate presidential republican poll iowa
"player-coach,professional football (gridiron),football team,college football",coach game play season football team player yard quarterback college
"special agent,criminal investigation,special prosecutor,attorney general,federal bureau of investigation",investigation fbi official department federal agent investigator charge attorney evidence
"sustainable agriculture,animal feed,crop,farm,intensive farming,organic farming,agriculture,vegetable,maize,wheat",farmer farm food crop grow plant field agriculture land product
"china,beijing,zhejiang",china chinese japan taiwan north beijing korea japanese government official
"tomato sauce,fish sauce",cup cook minute add pepper salt serve tablespoon oil sauce
"gene therapy,genetics",cell cancer human gene test mouse scientist brain research skin
game,baseball league game player season team home hit play fan
"golf,stroke play,championship,ryder cup,presidents cup,darren clarke",golf play cup ryder woods player win hole club team
"air national guard,military,aerial warfare,chemical warfare,army,united states army,special forces,military aircraft,close air support,united states marine corps,armed forces,tactical air command,military strategy",military war force nuclear u.s. weapon air defense army security
"tournament,football team,championship,player-coach",game play season team player cowboys point dallas jones coach
"fishing,freshwater fish,trout",fish animal dog boat bird sea water river fishing species
"software,computer network,computing,computer,web application,commercial software,open source,operating system",computer internet software system microsoft technology company service network program
"publishing,book review,the novel,novel,the writer,book,writer,novelist,essay,non-fiction,journal",book write writer story read author publish reader editor page
"disco,pop rock,pop music",music band song rock record album play show pop artist
"troubled asset relief program,capital gains tax,government spending,tax revenue,budget,value-added tax,taxpayer,income tax",tax cut money billion million program budget pay government plan
joe gibbs racing,race smith driver car win nascar cup gordon team season
"hurricane irene,hurricane charley,hurricane wilma,hurricane georges,hurricane andrew,tropical storm beryl (2012)",hurricane storm beach north florida coast wind floyd county island
"attempted murder,arrest,manslaughter,arrest warrant",prison crime murder police death charge case arrest kill county
"national unity government,democratic party (united states),political party,prime minister,politics,government,social democracy,head of state",government political country leader president power party minister democracy protest
"university,graduate,college,harvard university,graduate school,brown university",university college student professor umpire school harvard graduate president campus
"fashion,dress,fashion design,clothing,gown,french fashion,karl lagerfeld,blouse",wear fashion look dress show designer woman style clothes design
"mother,parenting,child",child parent kid baby young adult girl age care home
"daughter,father",family home father mother son wife friend live daughter tell
courtyard,house room wall home floor door wood paint window place
"super middleweight,professional boxing,light middleweight",fight lewis ray bob hoya boxing ring king vegas champion
russia,russia russian east timor moscow indonesia yeltsin force military rebel
"performing arts,opera,music,new york city opera,artistic director,theatre,musical theatre,choreography,operetta,concert performance",theater play music opera dance ms. festival performance york director
"penalty shootout,north american soccer league,fifa world cup,football,association football,tournament",team sport game soccer cup play player woman u.s. goal
"san francisco bay area,san francisco,san francisco bay",san francisco california brown bay chronicle area business valley santa
"email,skype,voice over ip,email address,mobile phone,voicemail",phone card call video e-mail number check mail offer device
"middle school,graduate,curriculum,graduate school,undergraduate education,vocational education,primary education,state school,secondary education,school,university,education",school student education teacher high program test class board district
"fantasy film,film adaptation,quentin tarantino,a movie,martin scorsese,film director,film",film movie star director hollywood actor minute direct story witch
"space research,space probe,spaceflight,nasa,spacecraft,human spaceflight,space station,mars,lander (spacecraft)",space moon earth nasa mission science scientist launch collins station
"police,handgun,attempted murder,firearm,shooting,arrest,murder",gun police shooting kill officer shoot violence barton law fire
"percentage,market value,population,inflation,profit margin,market share,annual growth rate",percent rate increase price rise million market month report number
"player-coach,contract",team million season contract deal player agent sign trade play
"microclimate,growing season,humidity",water plant summer heat tree air garden mountain temperature hot
"holding company,investment,public company,financial services",company business executive million deal billion chief inc. share market
"racer,washington park handicap",race win horse armstrong ride tour track rider run park
"a woman,sexual intercourse,premarital sex",woman ms. sex sexual male female age bill begin husband
"residential community,city",city street town area park building kansas build county resident
"pulmonary artery,ascending aorta,aneurysm,blood vessel,aortic stenosis,stenosis,aorta,aortic valve,aortic aneurysm",artery vascular coronary stent vein vessel carotid aortic aneurysm arterial
"radiation therapy,carcinoma,breast cancer,colorectal cancer,melanoma,lymphoma",cancer breast prostate node tumor lymph colorectal lung metastatic patient
"inflammation,infection,asthma,cough",lung pulmonary asthma disease intestinal airway chronic bowel inflammation respiratory
"t cell,mast cell,immune system,innate immune system,cytokine",cell response immune lymphocyte antigen cytokine t-cell induce receptor immunity
"protein kinase c,wnt signaling pathway,cell signaling,kinase,protein kinase",kinase pathway signal activation protein phosphorylation cell receptor inhibitor signaling
"anemia,liver disease,liver,pancreatitis,jaundice,hepatitis,hepatocellular carcinoma",liver hepatic resistance hepatocyte bile disease fibrosis biliary cirrhosis portal
"hiv/aids,hepatitis c virus,immunodeficiency,virus,hepatitis b,hiv",infection virus viral hiv hepatitis tuberculosis parasite hiv-1 host hcv
"estrogen receptor,luteinizing hormone,hormone,testosterone,prolactin,estrogen,cortisol",hormone thyroid level growth receptor estrogen effect gland cortisol testosterone
"neuron,dopamine,gabaa receptor,dopaminergic,nmda receptor",receptor neuron antagonist neuronal agonist brain effect synaptic dopamine increase
"vaccine,human papillomavirus,influenza a virus,virus,influenza,infection,influenza vaccine",virus vaccine influenza infection vaccination pig human hpv disease antibody
"bipolar disorder,attention deficit hyperactivity disorder,traumatic brain injury,multiple sclerosis,brain damage,major depressive disorder,schizophrenia,vascular dementia,neurological disorder",disease patient schizophrenia dementia alzheimer sclerosis multiple parkinson brain cognitive
"ischemia,pulmonary hypertension,nephrotic syndrome,chronic kidney disease,kidney",renal kidney hypertension pressure blood function disease urinary chronic dialysis
"streptococcus,infection,staphylococcus aureus,antibiotics,pathogenic bacteria",infection antibiotic isolate aureus pneumonia resistance staphylococcus antimicrobial culture susceptibility
"hypoglycemia,diabetes mellitus,insulin (medication),blood sugar,lipid,hyperglycemia,insulin resistance",diabetes glucose insulin type diabetic cholesterol level lipoprotein control lipid
"inflammation,endothelium,tumor microenvironment",expression endothelial inflammatory factor cell cytokine macrophage inflammation increase effect
"schizoaffective disorder,psychosis,social anxiety disorder,mental disorder,borderline personality disorder,posttraumatic stress disorder,bipolar disorder,mood disorder",pain disorder symptom depression anxiety patient chronic depressive study psychiatric
"reproductive system,uterus,sexual reproduction,oocyte,sperm,blastocyst,ovulation,spermatogenesis,zygote,embryo",embryo sperm ovarian oocyte cycle reproductive rate stage testicular follicle
"aorta,mitral valve,ventricular fibrillation,aortic valve,ischemia,heart failure,cardiac arrhythmia",cardiac heart ventricular patient myocardial failure valve atrial left leave
"dna methylation,dna repair,dna,cell cycle,rna,dna replication,gene",dna methylation damage repair chromosome histone cell gene replication promoter
"colorectal cancer,renal cell carcinoma,malignancy,chemotherapy,adenocarcinoma,prostate cancer,metastasis,carcinogenesis,lymphoma,hepatocellular carcinoma,carcinoma",tumor cell carcinoma expression cancer tissue tumour malignant invasion growth
"pathogenic bacteria,bacteria,pseudomonas,microorganism,staphylococcus aureus",strain isolate bacterium bacterial coli gene type escherichia biofilm species
"immunohistochemistry,immunofluorescence",antibody assay detection method probe detect protein specific fluorescence target
"medical diagnosis,infection,skin biopsy,diagnosis,biopsy",patient diagnosis diagnostic lesion sensitivity result biopsy specificity finding clinical
"hematopoietic stem cell transplantation,leukemia,kidney transplantation,cancer,radiation therapy,organ transplantation,liver transplantation",patient transplantation transplant donor recipient chemotherapy response leukemia acute survival
"weight loss,nutrition,b vitamins,healthy diet,dietary fiber,folic acid,vitamin b12,dietary supplement",food intake diet dietary vitamin feed smoking consumption supplementation effect
"nuclear magnetic resonance,chromatography,solubility,high-performance liquid chromatography",method sample mass analysis spectrometry liquid extraction determination detection chromatography
"cellular differentiation,autophagy,cell culture,cell growth",cell stem culture human differentiation tissue proliferation adhesion growth vitro
"nuclear magnetic resonance,ultrasound,tomography,optical coherence tomography,medical imaging",image imaging volume magnetic mri resonance method tomography contrast measurement
"osteoporosis,calcification,bone tissue,collagen",bone fracture density cartilage collagen formation defect mineral osteoporosis marrow
"oxidative stress,reactive oxygen species,antioxidant,oxidative phosphorylation",stress oxidative mitochondrial activity antioxidant oxygen increase reactive enzyme species
"gene expression,gene,gene product",gene expression protein rna transcription factor regulate promoter target regulation
"radiation therapy,cancer,chemotherapy",gastric dose radiation patient pancreatic treatment radiotherapy cancer neck head
"optic nerve,eye,glaucoma,visual acuity,astigmatism (eye),human eye,visual system",eye visual retinal corneal lens ocular purpose result acuity patient
"protein structure,amino acid,protein,c-terminus,protein domain",protein binding domain structure peptide site residue interaction acid structural
"phenotype,human genome,mutation,genetics,chromosome 7 (human),point mutation,genetic association,genetic variation,y chromosome",mutation gene genetic polymorphism genotype allele association study variant population
"prenatal care,fetus,infant mortality,childbirth,preterm birth,maternal health,birth",woman pregnancy infant birth maternal fetal neonatal mother week delivery
"elective surgery,local anesthesia,intubation,surgery",patient surgery surgical complication postoperative procedure result undergo perform case
"knee,lateral meniscus,ankle,tibia",knee joint degree fracture hip tendon pain foot anterior lateral
"adjuvant therapy,chemotherapy,clinical research,pharmacotherapy,therapy",patient treatment management clinical drug medication guideline therapy risk review
"concussion,traumatic brain injury,head injury,nervous system,spinal cord injury,brain injury,brain,brain damage",injury brain spinal cord cerebral trauma matter white follow ischemium
"mental disorder,symptom,differential diagnosis,psychosis",patient syndrome case disease clinical report present severe symptom disorder
"motor neuron,membrane potential,stimulus (physiology),sympathetic nervous system,central nervous system,nervous system",nerve stimulation response activity neuron frequency sensory motor potential change
"crop,seedling",plant leaf seed root growth arabidopsis rice wheat fruit stress
"silicon,nanoparticle,graphene,carbon nanotube",surface film nanoparticle carbon layer electrode sensor nanotube substrate gold
"enzyme inhibitor,dopamine,cytochrome p450",activity compound inhibitor extract inhibition show vitro effect acid derivative
"human genome,gene,dna methylation,genomic dna,gene product,protein,gene expression,non-coding rna",gene expression analysis protein identify express sequence mrna profile genome
"genetic analysis,phylogeography,mitochondrial dna,eukaryote,population genetics,genome size,species complex,phylogenetics,mutation",species sequence evolution population analysis phylogenetic diversity genetic genome region
"cell membrane,mitochondrion,lipid bilayer",protein membrane cell fusion function complex show localization activity cellular
"blood flow,blood pressure,hemoglobin,hypoxemia,oxygen",blood pressure flow increase respiratory oxygen rate ventilation change transfusion
"optics,laser,electromagnetic spectrum,laser diode",light laser optical spectrum pulse field intensity mode frequency band
dimer (chemistry),reaction complex synthesis ligand bond structure compound form formation group
"membrane potential,adenosine triphosphate,cell membrane",channel ca( calcium current cell increase effect release muscle intracellular
"apoptosis,cancer cell,cell death,immune system,cellular differentiation,t cell",cell apoptosis line expression effect induce death human proliferation cancer
"sexual violence,domestic violence,alcohol abuse,physical abuse,sexual abuse,human trafficking,abuse",alcohol sexual drug abuse woman sex report substance partner behavior
"parenting,child development,youth,child,early childhood,adolescence,puberty,childhood,infant",child age adult young pediatric adolescent childhood older study parent
"medical school,primary care,physician assistant,health education,nursing,medicine,health professional,hospital,medical education",care practice patient nurse student medical study physician program training
catheter,implant technique device procedure method placement tube place catheter position
"targeted therapy,chemotherapy,clinical research",disease review development recent clinical target therapeutic therapy drug potential
"measurement,test (assessment),predictive validity,program evaluation,data collection,evaluation,standardized test",score quality scale measure assess assessment study questionnaire test result
platelet,concentration plasma dog fluid blood serum human study cat sodium
"myocardial infarction,heart failure",patient acute mortality stroke hospital outcome event admission risk death
"population growth,mortality rate,incidence rate,survival rate,population decline",rate population prevalence study incidence datum increase mortality age death
pharmacokinetics,dose iron study pharmacokinetic drug concentration administration oral plasma 2010
biopsy,case report lesion present rare diagnosis lymphoma mass cyst reveal
"data collection,software,information",system cost datum tool analysis provide design technology develop information
"therapy,adjuvant therapy,chemotherapy,hormone therapy,clinical trial,cognitive behavioral therapy",treatment patient trial therapy study month week efficacy effect receive
"adsorption,evaporation",phase solution water surface adsorption form study temperature structure formation
"polymer,nanocomposite",polymer release property scaffold particle nanoparticle material delivery show surface
"factor analysis,data analysis",correlation analysis sleep index correlate predict significant study variable curve
"blood test,diagnostic test",sample test screening positive testing pcr milk screen cow result
visual perception,response task stimulus effect visual condition participant processing experiment movement
"clinical trial,cancer,prognosis",patient survival disease outcome clinical factor analysis month follow-up stage
"brain,working memory,semantic memory,visual memory,cognition,recognition memory",memory cognitive brain cortex region functional performance task area study
blood pressure,level patient serum control healthy blood higher significantly marker subject
"endurance training,muscle tone,agility,strength training,physical exercise",muscle exercise activity training physical increase test force strength performance
"methodology,data analysis,computation,principal component analysis,finite element method",method datum algorithm analysis approach network set base propose result
"larva,parasitoid,sexual reproduction,sperm competition,insect",female male population species egg selection host larva effect insect
"clinical psychology,child development,prosocial behavior,psychology,social support,psychological research,social behavior,sociology,socialization,education",social study adolescent relationship health behavior factor family examine school
complex system,process mechanism role network function interaction system change complex control
"mathematical model,computer simulation,parameter,regression analysis,estimation",model datum estimate method predict parameter result base rate simulation
"ozone,soil",exposure concentration water soil metal study environmental level sample air
